rul_bin,num_samples,rmse,mae,nasa,mean_error,mean_abs_error,median_abs_error,overestimate_rate,underestimate_rate,p_abs_error_gt_moderate,p_abs_error_gt_severe,p_overestimate_gt_moderate,p_underestimate_lt_neg_moderate,p_overestimate_gt_severe,p_underestimate_lt_neg_severe,run_dir
"[0,20]",16,3.513482158229532,2.52638128399849,4.621416736840981,-0.2637524902820586,2.52638128399849,1.5990183353424063,0.3125,0.6875,0.125,0.0,0.0625,0.0625,0.0,0.0,seed_123_a_0.04
"(20,50]",17,9.471223289808945,6.9319166295668655,26.26255631244607,2.4236605027142692,6.9319166295668655,4.958169937133789,0.5882352941176471,0.4117647058823529,0.47058823529411764,0.23529411764705882,0.29411764705882354,0.17647058823529413,0.17647058823529413,0.058823529411764705,seed_123_a_0.04
"(50,125]",67,17.156340897247222,13.806435826999039,294.9610433838332,-3.3033253114614918,13.806435826999039,12.391006469726562,0.373134328358209,0.6268656716417911,0.835820895522388,0.5970149253731343,0.3283582089552239,0.5074626865671642,0.2537313432835821,0.34328358208955223,seed_123_a_0.04
"[0,20]",16,3.2056249647178543,2.432639211416244,4.803141369424816,1.99424734711647,2.432639211416244,1.9090671539306632,0.6875,0.3125,0.0625,0.0,0.0625,0.0,0.0,0.0,seed_21_a_0.04
"(20,50]",17,7.796365347465858,7.017541436588063,16.96428552357828,1.3329756119671985,7.017541436588063,5.085540771484375,0.5882352941176471,0.4117647058823529,0.5294117647058824,0.23529411764705882,0.29411764705882354,0.23529411764705882,0.11764705882352941,0.11764705882352941,seed_21_a_0.04
"(50,125]",67,16.78455610029965,13.195581009138875,289.361906054128,-2.88753247616896,13.195581009138875,11.890869140625,0.417910447761194,0.582089552238806,0.7164179104477612,0.5970149253731343,0.26865671641791045,0.44776119402985076,0.22388059701492538,0.373134328358209,seed_21_a_0.04
"[0,20]",16,5.853467890717373,4.089294672012329,10.29319820314194,2.6667337417602544,4.089294672012329,1.9793949127197266,0.75,0.25,0.3125,0.125,0.25,0.0625,0.125,0.0,seed_42_a_0.04
"(20,50]",17,10.052980091563876,8.28414535522461,27.358279184617512,5.189740349264705,8.28414535522461,5.689136505126953,0.8235294117647058,0.17647058823529413,0.7058823529411765,0.35294117647058826,0.6470588235294118,0.058823529411764705,0.29411764705882354,0.058823529411764705,seed_42_a_0.04
"(50,125]",67,17.163744097303194,13.726304637852003,443.6477237504262,-0.3274824797217517,13.726304637852003,11.162025451660156,0.4925373134328358,0.5074626865671642,0.8208955223880597,0.5671641791044776,0.417910447761194,0.40298507462686567,0.2537313432835821,0.31343283582089554,seed_42_a_0.04
"[0,20]",16,4.6034085337161486,3.8650000691413884,8.242214940160135,3.4156351685523987,3.8650000691413884,3.4184045791625977,0.875,0.125,0.3125,0.0,0.3125,0.0,0.0,0.0,seed_7_a_0.04
"(20,50]",17,8.820061357477682,6.075371461756088,24.019310424437805,0.2860060299144076,6.075371461756088,4.481597900390625,0.5294117647058824,0.47058823529411764,0.35294117647058826,0.17647058823529413,0.11764705882352941,0.23529411764705882,0.058823529411764705,0.11764705882352941,seed_7_a_0.04
"(50,125]",67,17.574298990498335,13.741891320072003,346.2285468225663,-3.215068646331333,13.741891320072003,12.503158569335938,0.40298507462686567,0.5970149253731343,0.746268656716418,0.6268656716417911,0.26865671641791045,0.47761194029850745,0.23880597014925373,0.3880597014925373,seed_7_a_0.04
"[0,20]",16,2.770451741529668,1.9372024536132812,3.622344668666029,0.9905141592025757,1.9372024536132812,1.4570465087890625,0.6875,0.3125,0.125,0.0,0.125,0.0,0.0,0.0,seed_87_a_0.04
"(20,50]",17,7.010663166955905,5.917483834659352,14.234752610568963,0.5777700087603401,5.917483834659352,4.991416931152344,0.5882352941176471,0.4117647058823529,0.47058823529411764,0.11764705882352941,0.29411764705882354,0.17647058823529413,0.058823529411764705,0.058823529411764705,seed_87_a_0.04
"(50,125]",67,18.325454657215317,14.547909978610367,369.83224410658835,-4.472445359870569,14.547909978610367,11.5338134765625,0.373134328358209,0.6268656716417911,0.8805970149253731,0.5522388059701493,0.31343283582089554,0.5671641791044776,0.208955223880597,0.34328358208955223,seed_87_a_0.04
