epoch,train_loss,val_loss,val_rmse,val_mae,val_nasa,linex_a
1,1.7157375444644283,0.6653828650624269,28.973254499815035,25.274181849673077,222322.38548818708,0.04
2,0.35318247359301286,0.36662856175652925,18.985207163965097,13.927743397337018,126481.4998571455,0.04
3,0.22530589951340452,0.2754524609162694,18.859284232993218,13.513149624204303,82694.64187199036,0.04
4,0.1689368985836513,0.21640079052719688,15.901838749072743,11.560699438959846,51513.175157472804,0.04
5,0.1430482313655958,0.19365169759839773,16.472918367012557,11.97463731607635,46545.97302879332,0.04
6,0.12679185693978556,0.25528941249164444,15.060167473860274,10.84987866827658,65217.08747896669,0.04
7,0.11703761131986312,0.2013501963090329,15.112495521075774,11.062951723634502,47084.89867869822,0.04
8,0.10526120518983649,0.22052010052305246,14.195982710279779,9.846948499994957,56290.16877268198,0.04
9,0.1034279921111438,0.1965291135545288,14.813686475301498,10.516461092289234,46815.318280159816,0.04
10,0.09309291664942082,0.21000702152516515,14.474298431063945,10.162593584091235,50185.689872145405,0.04
11,0.08954468110813939,0.2895527109947233,15.21904460859648,10.241191272013115,92132.89754412998,0.04
12,0.08698695573060378,0.2818309979047626,15.102524453342495,10.0931124855505,79644.3778776612,0.04
13,0.08081282409963693,0.19269116085377477,14.818436867019448,10.168988401154817,48320.76316740505,0.04
14,0.07564285540129735,0.1839915390259453,16.925659112982014,11.673221583699847,48869.013214729675,0.04
15,0.07972727184258512,0.18151100272578852,15.330646656722443,10.66234245324885,44102.07263810344,0.04
16,0.07830145777111945,0.21617015188426844,15.390366671261372,10.50157137030905,55739.53068445566,0.04
17,0.06848954579596703,0.19697585346044175,16.88996717982906,11.467352698599543,51331.120250236825,0.04
18,0.06815171974658613,0.2066594964070689,14.890266546749652,10.238512507420042,51374.4580537935,0.04
19,0.06718897791883359,0.21849247917444223,16.834956312028247,11.654336962965262,55860.29429761425,0.04
20,0.06604416518076944,0.1994402526789123,15.611652148857031,10.541393784640274,51230.68548154656,0.04
21,0.06601336291087487,0.23599047765934042,15.968286807081144,10.837644922586032,66925.07556918023,0.04
22,0.06379203444197552,0.1999081462244725,17.67091471448706,12.584929862400314,51446.63446215221,0.04
23,0.057818081246506565,0.20390661682800523,16.52936927028636,11.193961672999642,52750.03098956858,0.04
